name,Overall Score,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Population (millions),GDP (billions),GDP per Capita,Unemployment Rate,Inflation Rate,FDI Inflow (millions),Tax Burden % GDP,Govt. Expenditure % GDP
,68.3,14.4,30.0,30.0,12.6,31.0,2318.0,1.0,2.4,420.2,16.0,26.8
,67.5,12.2,30.0,30.0,0.2,2.9,16089.0,20.7,0.7,30.6,22.5,23.7
,66.3,13.6,30.0,30.0,0.1,1.4,12983.0,18.9,0.9,113.1,26.7,30.8
,61.9,9.3,27.0,27.0,0.2,1.2,6787.0,8.4,2.2,1.0,25.5,31.0
,55.9,9.9,20.0,25.0,0.2,0.7,4128.0,13.4,8.4,57.4,11.6,26.0
,66.0,4.6,2.5,2.5,34.3,1900.9,48908.0,5.9,-1.2,4562.0,8.9,35.2
,58.0,9.3,40.0,30.0,16.3,64.1,3536.0,6.6,1.0,983.3,16.2,23.0
,67.2,6.4,10.0,15.0,6.9,130.2,18989.0,12.7,1.9,4280.7,20.7,41.0
,66.3,5.5,15.0,33.0,0.1,3.1,30260.0,,1.8,125.5,31.5,36.1
,51.7,12.7,15.0,30.0,7.8,13.1,1790.0,4.4,14.8,367.7,14.4,21.7
,89.7,0.0,22.0,17.0,5.7,593.8,101376.0,4.1,0.6,92080.5,13.1,14.0
,66.3,3.0,25.0,21.0,5.5,198.4,34178.0,5.6,2.8,2448.7,33.1,42.0
,68.3,3.0,50.0,19.0,2.1,79.2,40657.0,4.2,1.6,909.8,36.4,43.8
,56.5,8.2,40.0,30.0,0.7,1.5,2466.0,0.6,2.2,30.1,29.5,38.6
,,,,,15.4,12.7,,11.4,,447.0,,
,59.7,6.2,45.0,28.0,58.6,804.7,12999.0,28.2,4.1,4624.4,28.4,33.7
,74.0,8.0,42.0,25.0,51.7,2320.5,43029.0,4.2,0.4,10565.6,28.4,20.9
,69.9,3.0,45.0,25.0,47.1,1923.7,42214.0,14.0,0.7,12405.5,34.4,41.6
,55.7,19.0,24.0,28.0,21.8,304.2,13620.0,4.2,4.3,758.2,11.9,19.6
,39.1,17.5,15.0,35.0,42.8,175.2,4123.0,16.5,51.0,825.4,8.0,16.4
,46.4,12.4,38.0,36.0,0.6,9.4,17005.0,7.3,4.4,7.2,16.1,32.6
,74.7,3.0,57.0,21.4,10.3,564.8,55815.0,6.5,1.7,20568.0,43.9,48.5
,81.9,2.0,11.5,8.5,8.6,566.2,70989.0,4.6,0.4,-21740.0,27.9,32.8
,,16.5,22.0,28.0,17.1,67.1,4030.0,43.5,11.2,,,
,78.6,2.0,40.0,20.0,23.6,1339.8,55527.0,3.7,0.5,8213.0,8.9,17.3
,55.2,7.7,13.0,15.0,9.3,34.1,3520.0,11.0,7.8,212.8,20.5,32.3
,61.3,10.3,30.0,30.0,58.0,193.5,2771.0,2.0,3.4,1112.4,11.5,16.6
